X,Y,RecId,CrimeId,AgencyId,Block,Street,City,State,Zip,CrimeCode,CrimeDescription,Aggregated Desc
-122.0791889,37.7156481,438900,19022146,ACSO,18000 LAMSON RD,18064 LAMSON RD,CASTRO VALLEY,CA,94546,90C,DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,Domestic
-122.0872729,37.69814592,438903,19022150,ACSO,20100 LAKE CHABOT RD,20103 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,999,72 HOUR MENTAL HEALTH,5150
-122.1080473,37.70055861,438906,19022149,ACSO,16300 FOOTHILL BL,16320 FOOTHILL BL,SAN LEANDRO,CA,94578,999,ARREST WARRANT - MISD,Court Order
-122.1096513,37.69374373,438908,19022152,ACSO,1400 166TH AV,1481 166TH AV,SAN LEANDRO,CA,94578,999,"LOST,STOLEN LICENSE PLATE",Theft Auto
-122.1118877,37.69615391,438917,19022158,ACSO,1400 164TH AV,1444 164TH AV,SAN LEANDRO,CA,94578,11A,RAPE BY FORCE/FEAR/ETC,Sexual Assault
-122.1118877,37.69615391,438917,19022158,ACSO,1400 164TH AV,1444 164TH AV,SAN LEANDRO,CA,94578,11D,LEWD & LASCIVIOUS ACT W/CHILD 14/15:DEFENDANT 10 YRS OLDER,Sexual Misconduct Minor
-122.1118877,37.69615391,438917,19022158,ACSO,1400 164TH AV,1444 164TH AV,SAN LEANDRO,CA,94578,11D,SEXUAL BATTERY,Sexual Assault
-122.0786242,37.70429779,438918,19022160,ACSO,19400 SANTA MARIA AV,19465 SANTA MARIA AV,CASTRO VALLEY,CA,94546,23G,VEHICLE TAMPERING - THEFT VEH PARTS,Theft Auto
-122.2511086,37.82048748,438922,19022157,ACSO,600 OAKLAND AV,629 OAKLAND AV,OAKLAND,CA,94611,999,MISSING PERSON,Missing Person
-122.2317407,37.79933728,438923,19022164,ACSO,1400 E 31ST ST,1411 E 31ST ST,OAKLAND,CA,94602,999,INFORMATIONAL REPORT,Officer Information
-122.1145066,37.69541186,438925,19022166,ACSO,16300 E 14TH ST,16308 E 14TH ST,SAN LEANDRO,CA,94578,120,ROBBERY,Robbery
-122.0978763,37.67007542,438926,19022168,ACSO,22300 PRINCETON ST,22331 PRINCETON ST,HAYWARD,CA,94541,999,DEATH UNATTENDED / ATTENDED,Patrol Information
-122.1403476,37.67771803,438929,19022169,ACSO,15800 DEVONWOOD WY,15808 DEVONWOOD WY,SAN LORENZO,CA,94580,999,"LOST,STOLEN LICENSE PLATE",Theft Auto
-122.0712954,37.68540096,438931,19022170,ACSO,2400 GROVE WY,2490 GROVE WY,CASTRO VALLEY,CA,94546,23F,BURGLARY - VEHICLE,Theft Auto
-122.148448,37.67307547,438932,19022162,ACSO,1900 VIA LACQUA,1997 VIA LACQUA,SAN LORENZO,CA,94580,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,Battery
-122.148448,37.67307547,438932,19022162,ACSO,1900 VIA LACQUA,1997 VIA LACQUA,SAN LORENZO,CA,94580,13A,FORCE OR ADW NOT FIREARM:GBI LIKELY,Weapon Firearm
-122.148448,37.67307547,438932,19022162,ACSO,1900 VIA LACQUA,1997 VIA LACQUA,SAN LORENZO,CA,94580,13C,THREATEN CRIME W/INTENT TO TERRORIZE,Threaten
-122.148448,37.67307547,438932,19022162,ACSO,1900 VIA LACQUA,1997 VIA LACQUA,SAN LORENZO,CA,94580,100,KIDNAPPING,Kidnapping
-122.148448,37.67307547,438932,19022162,ACSO,1900 VIA LACQUA,1997 VIA LACQUA,SAN LORENZO,CA,94580,120,CARJACKING,Theft Auto
-122.148448,37.67307547,438932,19022162,ACSO,1900 VIA LACQUA,1997 VIA LACQUA,SAN LORENZO,CA,94580,100,FALSE IMPRISONMENT,Misc
-122.1238889,37.67273483,438935,19022178,ACSO,17500 VIA ARRIBA,17503 VIA ARRIBA,SAN LORENZO,CA,94580,999,INFORMATIONAL REPORT,Officer Information
-122.1120786,37.69313126,438938,19022174,ACSO,1200 KENTWOOD,1240 KENTWOOD,SAN LORENZO,CA,94580,26C,GET CREDIT/ETC OTHERS ID,Fraud
-122.0894374,37.67438884,438941,19022176,ACSO,MEMORIAL WY/ ROYAL AV,MEMORIAL WY/ ROYAL AV,HAYWARD,CA,94541,999,DRIVE WHILE LIC SUSP DUI,Traffic
-122.0894374,37.67438884,438941,19022176,ACSO,MEMORIAL WY/ ROYAL AV,MEMORIAL WY/ ROYAL AV,HAYWARD,CA,94541,999,OPERATING VEH WHICH HAS BEEN PROHIBITED BY CRT ORD,Traffic
-122.0894506,37.6743956,438942,19022175,ACSO,W A ST/ HESPERIAN BL,W A ST/ HESPERIAN BL,HAYWARD,CA,94541,999,OUTSIDE WARRANT-FEL,Misc
-122.0894506,37.6743956,438942,19022175,ACSO,W A ST/ HESPERIAN BL,W A ST/ HESPERIAN BL,HAYWARD,CA,94541,999,OUTSIDE WARRANT-MISD,Misc
-122.1270609,37.70266855,438943,19022181,ACSO,E 14TH ST/ 163RD AV,E 14TH ST/ 163RD AV,SAN LEANDRO,CA,94578,90D,DUI ANY DRUG,DUI
-122.1270609,37.70266855,438943,19022181,ACSO,E 14TH ST/ 163RD AV,E 14TH ST/ 163RD AV,SAN LEANDRO,CA,94578,26C,FALSE IDENTIFICATION TO SPECIFIC PEACE OFFICERS,Misc
-122.1046819,37.66642547,438944,19022177,ACSO,200 W A ST,275 W A ST,SAN LEANDRO,CA,94541,999,DRIVER UNLICENSED,Traffic
-122.1046819,37.66642547,438944,19022177,ACSO,200 W A ST,275 W A ST,SAN LEANDRO,CA,94541,999,ARREST WARRANT - MISD,Patrol Information
-122.1294406,37.68357971,438945,19022184,ACSO,15800 HESPERIAN BL,15840 HESPERIAN BL,SAN LORENZO,CA,94580,23H,PETTY THEFT,Theft Petty
-122.0894374,37.67438884,438947,19022187,ACSO,EL DORADO AV/ INYO ST,EL DORADO AV/ INYO ST,HAYWARD,CA,94541,999,RECOVERED STOLEN VEHICLE,Theft Auto
-122.0894506,37.6743938,438949,19022183,ACSO,B ST/ MEEKLAND AV,B ST/ MEEKLAND AV,HAYWARD,CA,94541,90D,DUI ALCOHOL/DRUGS,DUI
-122.0894506,37.6743938,438949,19022183,ACSO,B ST/ MEEKLAND AV,B ST/ MEEKLAND AV,HAYWARD,CA,94541,90D,DUI ALCOHOL/0.08 PERCENT,DUI
-122.0894506,37.6743938,438949,19022183,ACSO,B ST/ MEEKLAND AV,B ST/ MEEKLAND AV,HAYWARD,CA,94541,999,OPERATING VEH WHICH HAS BEEN PROHIBITED BY CRT ORD,Court Order
-122.0894506,37.6743938,438949,19022183,ACSO,B ST/ MEEKLAND AV,B ST/ MEEKLAND AV,HAYWARD,CA,94541,999,DRIVE WHILE LIC SUSP DUI,DUI
-122.0894506,37.6743938,438950,19022186,ACSO,B ST/ MEEKLAND AV,B ST/ MEEKLAND AV,HAYWARD,CA,94541,90E,DISORDERLY CONDUCT:ALCOHOL,Disorderly Conduct
-122.1270609,37.70266855,438951,19022185,ACSO,E 14TH ST/ PAJARO CT,E 14TH ST/ PAJARO CT,SAN LEANDRO,CA,94578,999,DRIVER UNLICENSED,Traffic
-122.1270609,37.70266855,438951,19022185,ACSO,E 14TH ST/ PAJARO CT,E 14TH ST/ PAJARO CT,SAN LEANDRO,CA,94578,999,OPERATING VEH WHICH HAS BEEN PROHIBITED BY CRT ORD,Court Order
-122.0638007,37.68402579,438952,19022189,ACSO,22500 CENTER ST,22596 CENTER ST,HAYWARD,CA,94541,999,ARREST WARRANT - FEL,Patrol Information
-122.1079199,37.69348999,438956,19022190,ACSO,1400 167TH AV,1475 167TH AV,SAN LEANDRO,CA,94578,90Z,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,Court Order
-122.087491,37.69391283,438959,19022191,ACSO,2600 CASTRO VALLEY BL,2660 CASTRO VALLEY BL,CASTRO VALLEY,CA,94546,90C,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,Disorderly Conduct
-122.087491,37.69391283,438959,19022191,ACSO,2600 CASTRO VALLEY BL,2660 CASTRO VALLEY BL,CASTRO VALLEY,CA,94546,90Z,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Misc
-122.1302987,37.70655743,438960,19022193,ACSO,14800 E. 14TH ST,14880 E. 14TH ST,SAN LEANDRO,CA,94578,999,DRIVE WHILE LIC SUSP DUI,DUI
-122.1302987,37.70655743,438960,19022193,ACSO,14800 E. 14TH ST,14880 E. 14TH ST,SAN LEANDRO,CA,94578,999,OPERATING VEH WHICH HAS BEEN PROHIBITED BY CRT ORD,Court Order
-122.1302987,37.70655743,438960,19022193,ACSO,14800 E. 14TH ST,14880 E. 14TH ST,SAN LEANDRO,CA,94578,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Controlled Substance
-122.12129,37.7158726,438961,19022200,ACSO,2000 FAIRMONT DR,2060 FAIRMONT DR,SAN LEANDRO,CA,94578,999,"LOST,STOLEN LICENSE PLATE",Theft Auto
-122.0894506,37.6743956,438962,19022194,ACSO,FOOTHILL BL/ GROVE WY,FOOTHILL BL/ GROVE WY,HAYWARD,CA,94541,90D,DUI ALCOHOL/DRUGS,DUI
-122.0894506,37.6743956,438962,19022194,ACSO,FOOTHILL BL/ GROVE WY,FOOTHILL BL/ GROVE WY,HAYWARD,CA,94541,90D,DUI ALCOHOL/0.08 PERCENT,DUI
-122.0780098,37.65829779,438963,19022199,ACSO,ONEIL AV/ ORCHARD AV,ONEIL AV/ ORCHARD AV,HAYWARD,CA,94544,999,DRIVING WHILE LICENSE SUSPENDED FOR RECKLESS,Traffic
-122.0780098,37.65829779,438963,19022199,ACSO,ONEIL AV/ ORCHARD AV,ONEIL AV/ ORCHARD AV,HAYWARD,CA,94544,35A,POSSESS CONTROLLED SUBSTANCE - FELONY,Controlled Substance
-122.0780098,37.65829779,438963,19022199,ACSO,ONEIL AV/ ORCHARD AV,ONEIL AV/ ORCHARD AV,HAYWARD,CA,94544,90Z,POSSESS/ETC BURGLARY TOOLS,Burglary 
-122.0780098,37.65829779,438963,19022199,ACSO,ONEIL AV/ ORCHARD AV,ONEIL AV/ ORCHARD AV,HAYWARD,CA,94544,280,APPROPRIATE LOST PROPERTY (UNDER $400),Misc
-122.1000939,37.68528234,438979,19022216,ACSO,20500 MISSION BL,20550 MISSION BL,HAYWARD,CA,94541,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Controlled Substance
-122.1000939,37.68528234,438979,19022216,ACSO,20500 MISSION BL,20550 MISSION BL,HAYWARD,CA,94541,280,APPROPRIATE LOST PROPERTY (UNDER $400),Misc
-122.0894506,37.6743956,438983,19022212,ACSO,A ST/ MEEKLAND AV,A ST/ MEEKLAND AV,HAYWARD,CA,94541,90J,TRESPASS:OCCUPY PROPERTY W/O CONSENT,Misc
-122.0739849,37.71691117,438984,19022217,ACSO,4900 PROCTOR RD,4992 PROCTOR RD,CASTRO VALLEY,CA,94546,23G,VEHICLE TAMPERING - THEFT VEH PARTS,Theft Auto
-122.0790703,37.70091137,438995,19022226,ACSO,DENNING CT/ STANTON AV,DENNING CT/ STANTON AV,CASTRO VALLEY,CA,94546,999,RECKLESS DRIVING; HIGHWAY,Traffic
-122.1198216,37.70304582,437075,19020674,ACSO,1500 MONO AV,1551 MONO AV,SAN LEANDRO,CA,94578,90Z,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,Misc
-122.0958521,37.68164526,437079,19020676,ACSO,21200 MISSION BL,21295 MISSION BL,HAYWARD,CA,94541,120,ROBBERY,Robbery
-122.1169615,37.70167689,437080,19020680,ACSO,15900 MARCELLA ST,15941 MARCELLA ST,SAN LEANDRO,CA,94578,23F,BURGLARY - VEHICLE,Theft Auto
-122.1169615,37.70167689,437080,19020680,ACSO,15900 MARCELLA ST,15941 MARCELLA ST,SAN LEANDRO,CA,94578,23F,BURGLARY - VEHICLE,Theft Auto
-121.7630189,37.69960355,437082,19020683,ACSO,LAS POSITAS CT/ N LIVERMORE AV,LAS POSITAS CT/ N LIVERMORE AV,LIVERMORE,CA,94551,999,RED LIGHT; STOP AT LIMIT LINE,Traffic
-121.7630189,37.69960355,437082,19020683,ACSO,LAS POSITAS CT/ N LIVERMORE AV,LAS POSITAS CT/ N LIVERMORE AV,LIVERMORE,CA,94551,999,LICENSE SUSPENDED/REVOKED,Traffic
-121.7630189,37.69960355,437082,19020683,ACSO,LAS POSITAS CT/ N LIVERMORE AV,LAS POSITAS CT/ N LIVERMORE AV,LIVERMORE,CA,94551,999,NO PROOF: FINANCE RESP:VEH,Misc
-122.0569879,37.71769238,437083,19020684,ACSO,5700 MEDALLION CT,5732 MEDALLION CT,CASTRO VALLEY,CA,94552,23H,THEFT OF PERSONAL PROPERTY,Theft
-122.1281619,37.68153438,437087,19020681,ACSO,15900 HESPERIAN BL,15951 HESPERIAN BL,SAN LORENZO,CA,94580,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,Controlled Substance
-122.1281619,37.68153438,437087,19020681,ACSO,15900 HESPERIAN BL,15951 HESPERIAN BL,SAN LORENZO,CA,94580,35A,POSSESS CONTROLLED SUBSTANCE,Controlled Substance
-122.1281619,37.68153438,437087,19020681,ACSO,15900 HESPERIAN BL,15951 HESPERIAN BL,SAN LORENZO,CA,94580,280,APPROPRIATE LOST PROPERTY (UNDER $400),
-122.0658763,37.60882926,437091,19020692,ACSO,30100 INDUSTRIAL PW,30163 INDUSTRIAL PW,HAYWARD,CA,94544,999,OUTSIDE AGENCY ASSIST,
-122.0735537,37.69547469,437093,19020690,ACSO,CASTRO VALLEY BL/ REDWOOD RD,CASTRO VALLEY BL/ REDWOOD RD,CASTRO VALLEY,CA,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,
-122.0902194,37.74707049,437094,19020691,ACSO,GROVE WY/  REDWOOD RD,GROVE WY/  REDWOOD RD,CASTRO VALLEY,CA,94546,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,
-122.0902194,37.74707049,437094,19020691,ACSO,GROVE WY/  REDWOOD RD,GROVE WY/  REDWOOD RD,CASTRO VALLEY,CA,94546,35A,POSSESS CONTROLLED SUBSTANCE,
-122.0902194,37.74707049,437094,19020691,ACSO,GROVE WY/  REDWOOD RD,GROVE WY/  REDWOOD RD,CASTRO VALLEY,CA,94546,35A,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,
-122.1050483,37.68510794,437095,19020693,ACSO,600 HAMPTON RD,678 HAMPTON RD,HAYWARD,CA,94541,999,TOW VEH OVERDUE REG,
-122.0955835,37.68163185,437099,19020702,ACSO,21300 MISSION BL,21366 MISSION BL,HAYWARD,CA,94541,90C,DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,
-122.0790703,37.70091752,437101,19020710,ACSO,CASTRO VALLEY BL/ STROBRIDGE AV,CASTRO VALLEY BL/ STROBRIDGE AV,CASTRO VALLEY,CA,94546,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,
-122.0790703,37.70091752,437101,19020710,ACSO,CASTRO VALLEY BL/ STROBRIDGE AV,CASTRO VALLEY BL/ STROBRIDGE AV,CASTRO VALLEY,CA,94546,35A,POSSESS CONTROLLED SUBSTANCE,
-122.0790703,37.70091137,437102,19020707,ACSO,CASTRO VALLEY BL/ WILBEAM AV,CASTRO VALLEY BL/ WILBEAM AV,CASTRO VALLEY,CA,94546,90E,DISORDERLY CONDUCT:ALCOHOL,
-122.099056,37.68444855,437105,19020712,ACSO,20800 MISSION BL,20894 MISSION BL,HAYWARD,CA,94541,11D,SEXUAL BATTERY,
-122.0795584,37.70183279,437106,19020713,ACSO,A ST/ CRESCENT AV,A ST/ CRESCENT AV,CASTRO VALLEY,CA,94546,35A,POSSESS CONTROLLED SUBSTANCE,
-122.0872729,37.69814592,437110,19020715,ACSO,20100 LAKE CHABOT RD,20103 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,999,72 HOUR MENTAL HEALTH,
-122.1145066,37.69541186,437149,19020721,ACSO,16300 E 14TH ST,16308 E 14TH ST,SAN LEANDRO,CA,94578,240,TAKE VEHICLE W/O OWNER CONSENT/VEHICLE THEFT,
-122.1145066,37.69541186,437149,19020721,ACSO,16300 E 14TH ST,16308 E 14TH ST,SAN LEANDRO,CA,94578,999,RECOVERED STOLEN VEHICLE,
-122.0771905,37.69408151,437152,19020725,ACSO,20800 WILBEAM AV,20879 WILBEAM AV,CASTRO VALLEY,CA,94546,999,INFORMATIONAL REPORT,
-122.0707714,37.68566525,437156,19020727,ACSO,2500 GROVE WY,2536 GROVE WY,CASTRO VALLEY,CA,94546,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,
-122.0707714,37.68566525,437156,19020727,ACSO,2500 GROVE WY,2536 GROVE WY,CASTRO VALLEY,CA,94546,13B,WILLFUL CRUELTY TO CHILD,
-122.0707714,37.68566525,437156,19020727,ACSO,2500 GROVE WY,2536 GROVE WY,CASTRO VALLEY,CA,94546,90Z,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,
-122.1082003,37.69324543,437158,19020734,ACSO,1400 167TH AV,1434 167TH AV,SAN LEANDRO,CA,94578,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,
-122.1052767,37.70163984,437159,19020732,ACSO,2300 MIRAMAR AV,2300 MIRAMAR AV,SAN LEANDRO,CA,94578,999,72 HOUR MENTAL HEALTH,
-122.1015264,37.67093778,437160,19020729,ACSO,100 POPLAR AV,183 POPLAR AV,HAYWARD,CA,94541,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,
-122.1015264,37.67093778,437160,19020729,ACSO,100 POPLAR AV,183 POPLAR AV,HAYWARD,CA,94541,13B,WILLFUL CRUELTY TO CHILD,
-122.1203834,37.70765775,437161,19020730,ACSO,15400 FOOTHILL BL,15430 FOOTHILL BL,SAN LEANDRO,CA,94578,999,LOCATED PERSON -ADULT OR JUVENILE,
-122.0784764,37.70603994,437162,19020736,ACSO,19000 SANTA MARIA AV,19037 SANTA MARIA AV,CASTRO VALLEY,CA,94546,23F,BURGLARY - VEHICLE,
-122.1100862,37.69230582,437164,19020739,ACSO,16600 E 14TH ST,16672 E 14TH ST,SAN LEANDRO,CA,94578,23A,PETTY THEFT,
-122.1181796,37.71654774,437165,19020737,ACSO,2500 FAIRMONT DR,2500 FAIRMONT DR,SAN LEANDRO,CA,94578,999,LOCATED PERSON -ADULT OR JUVENILE,
-122.0872729,37.69814592,437167,19020741,ACSO,20100 LAKE CHABOT RD,20103 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,999,72 HOUR MENTAL HEALTH,
-122.0727005,37.69532595,437168,19020742,ACSO,3700 CASTRO VALLEY BL,3784 CASTRO VALLEY BL,CASTRO VALLEY,CA,94546,999,INCIDENT REPORT,
-122.0621934,37.68992986,437170,19020731,ACSO,CENTER STREET AT GROVE WY,CENTER STREET AT GROVE WY,CASTRO VALLEY,CA,94546,13B,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,
-122.0894506,37.6743956,437171,19020743,ACSO,W A ST/ ROYAL AV,W A ST/ ROYAL AV,HAYWARD,CA,94541,999,BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,
-122.1270478,37.70265744,437175,19020745,ACSO,149TH AV/ SATURN DR,149TH AV/ SATURN DR,SAN LEANDRO,CA,94578,999,TOW VEH OVERDUE REG,
-122.0958521,37.68164526,437179,19020748,ACSO,21200 MISSION BL,21295 MISSION BL,HAYWARD,CA,94541,220,BURGLARY,
-122.0887558,37.69330933,437180,19020750,ACSO,2500 CASTRO VALLEY BL,2532 CASTRO VALLEY BL,CASTRO VALLEY,CA,94546,999,INCIDENT REPORT,
-122.0958478,37.68184425,437186,19020754,ACSO,21300 MISSION BL,21314 MISSION BL,HAYWARD,CA,94541,26B,THEFT BY USE OF ACCESS CARD INFORMATION,
-122.0958478,37.68184425,437186,19020754,ACSO,21300 MISSION BL,21314 MISSION BL,HAYWARD,CA,94541,23A,PETTY THEFT,
-122.0832567,37.69729545,437193,19020756,ACSO,20400 ANITA AV,20464 ANITA AV,CASTRO VALLEY,CA,94546,999,72 HOUR MENTAL HEALTH,
-122.0407764,37.68911621,437194,19020755,ACSO,23000 CANYON TERRACE DR,23069 CANYON TERRACE DR,HAYWARD,CA,94552,220,BURGLARY,
-122.10534,37.70162743,437199,19020760,ACSO,2200 MIRAMAR AV,2288 MIRAMAR AV,SAN LEANDRO,CA,94578,290,TAMPER WITH VEHICLE,
-122.10534,37.70162743,437199,19020760,ACSO,2200 MIRAMAR AV,2288 MIRAMAR AV,SAN LEANDRO,CA,94578,23H,THEFT OF PERSONAL PROPERTY,
-121.7231286,37.66509469,437202,19020763,ACSO,5800 TESLA RD,5878 TESLA RD,LIVERMORE,CA,94550,999,TOW VEH OVERDUE REG,
-122.0543418,37.70560135,437204,19020765,ACSO,19600 CULL CANYON RD,19600 CULL CANYON RD,CASTRO VALLEY,CA,94552,999,INFORMATIONAL REPORT,
-122.1416461,37.67562284,437206,19020761,ACSO,15800 CHANNEL ST,15821 CHANNEL ST,SAN LORENZO,CA,94580,23C,SHOPLIFT,
-122.0894506,37.6743938,437207,19020769,ACSO,GROVE WY/ WESTERN BL,GROVE WY/ WESTERN BL,HAYWARD,CA,94541,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,
-122.0894506,37.6743938,437207,19020769,ACSO,GROVE WY/ WESTERN BL,GROVE WY/ WESTERN BL,HAYWARD,CA,94541,999,BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,
-122.0739236,37.71259721,437210,19020764,ACSO,18200 REDWOOD RD,18237 REDWOOD RD,CASTRO VALLEY,CA,94546,999,72 HOUR MENTAL HEALTH,
-122.1153836,37.69879191,437213,19020770,ACSO,1400 162ND AV,1484 162ND AV,SAN LEANDRO,CA,94578,999,"LOST,STOLEN LICENSE PLATE",
-122.1006187,37.69923751,437214,19020766,ACSO,16600 WINDING BL,16685 WINDING BL,SAN LEANDRO,CA,94578,13B,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,
-122.1006187,37.69923751,437214,19020766,ACSO,16600 WINDING BL,16685 WINDING BL,SAN LEANDRO,CA,94578,999,72 HOUR MENTAL HEALTH,
-122.0894506,37.6743956,437215,19020771,ACSO,MEDFORD AV/ MEEKLAND AV,MEDFORD AV/ MEEKLAND AV,HAYWARD,CA,94541,999,ARREST WARRANT - MISD,
-122.1300123,37.68613915,437221,19020772,ACSO,15600 HESPERIAN BL,15609 HESPERIAN BL,SAN LORENZO,CA,94580,999,BENCH WARRANT/FAILURE TO APPEAR ON MISDEMEANOR CHARGE,
-122.1378145,37.66410514,437223,19020777,ACSO,17400 VIA JULIA,17479 VIA JULIA,SAN LORENZO,CA,94580,90Z,BEYOND PARENTAL CONTROL/ETC,
-122.129678,37.68052054,437225,19020782,ACSO,PASEO GRANDE/ VIA TOLEDO,PASEO GRANDE/ VIA TOLEDO,SAN LORENZO,CA,94580,90C,DOMESTIC - DISTURB BY LOUD/UNREASONABLE NOISE,
-122.129678,37.68052054,437225,19020782,ACSO,PASEO GRANDE/ VIA TOLEDO,PASEO GRANDE/ VIA TOLEDO,SAN LORENZO,CA,94580,290,VANDALISM ($1000 OR LESS),
-122.0827699,37.68464376,437228,19020778,ACSO,1900 GROVE WY,1905 GROVE WY,CASTRO VALLEY,CA,94546,35A,POSSESS NARCOTIC CONTROLLED SUBSTANCE,
-122.0827699,37.68464376,437228,19020778,ACSO,1900 GROVE WY,1905 GROVE WY,CASTRO VALLEY,CA,94546,35B,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,
-122.0827699,37.68464376,437228,19020778,ACSO,1900 GROVE WY,1905 GROVE WY,CASTRO VALLEY,CA,94546,35A,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,
-122.1230101,37.70987277,437231,19020781,ACSO,15000 FOOTHILL BL,15001 FOOTHILL BL,SAN LEANDRO,CA,94578,90H,DISORDERLY CONDUCT:DSTRIBUTE IMAGE OF INTIMATE BODY PART,
-122.1230829,37.70608846,437236,19020787,ACSO,1600 FAIMONT DR,1650 FAIMONT DR,SAN LEANDRO,CA,94578,90E,DISORDERLY CONDUCT:ALCOHOL,
-122.1230829,37.70608846,437236,19020787,ACSO,1600 FAIMONT DR,1650 FAIMONT DR,SAN LEANDRO,CA,94578,90Z,VIOLATION OF PROBATION MISDEMEANOR,
-122.0872729,37.69814592,437238,19020790,ACSO,20100 LAKE CHABOT RD,20103 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,999,72 HOUR MENTAL HEALTH,
-122.0998871,37.67487866,437242,19020789,ACSO,400 BIANCA LA,460 BIANCA LA,HAYWARD,CA,94541,90I,RUNAWAY,
-122.1141642,37.67102718,437248,19020794,ACSO,300 BARTLETT AV,372 BARTLETT AV,HAYWARD,CA,94541,13A,EXHIBIT FIREARM,
-122.1141642,37.67102718,437248,19020794,ACSO,300 BARTLETT AV,372 BARTLETT AV,HAYWARD,CA,94541,13A,CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH,
